LINEA,ASSEMBLY,ITEM_PT,MASA,Masas_Elaboradas,TIEMPO_DE_PRODUCCION_REAL,CAMBIO_Y_LIMPIEZA_TEORICO,CAMBIO_Y_LIMPIEZA_REAL,IPFM,MATTO_PROGRAMADO,OTRAS_FALLAS,PLANTA,HORARIO
CHOCORROL,108035,35484,CHO  CHOCORROL PINA,1,7.1833334,0,0,0,0,0,bimbo_golfo,13:00
CHOCORROL,102129,43065,CHO   ROLLO FRESA,70,16.815279,0,0,0,0,0,bimbo_golfo,13:00
G-4,135124,135122,G-4   BASE ROCKO,7,13.280277,0.20000002,0.20000002,0,0,0,bimbo_golfo,13:00
G-4,135128,135126,G-4   BASE SPONCH VAINILLA,20,7.306111,0,0,0,0,0,bimbo_golfo,13:00
GALLETAS1,102157,201850,G-1   BARRITA PINA 67G.,28,12.99,0,0,0,0,0,bimbo_golfo,13:00
GALLETAS1,133925,201823,G-1   BARRITA FRESA 48G.,13,8.263056,0,0,0,0,0,bimbo_golfo,13:00
GALLETAS2,102179,43230,G2   PRINCIPE VAINILL,55,23.997223,0,0,1.5166667,0,0,bimbo_golfo,13:00
GALLETAS3,102171,6451,G-3    POLVORON GRASA,60,23.999722,0,0,0.16666667,0,0,bimbo_golfo,13:00
GANSITO,108028,200426,GAN   DALMATA,13,4.1944447,0.9,1.5166667,1.1333333,0,0,bimbo_golfo,13:00
GANSITO,139950,a4495001,GAN   MANTECADA VAINILLA,54,17.848333,0,0,1.6,0,0,bimbo_golfo,13:00
MALVAVISC2,102151,6452,MAL   2  JARABE SPONCH,14,16.550278,0,0,0,0,0,bimbo_golfo,13:00
MALVAVISCO,109892,43068,MALV  1 JARABE ROCKO,18,14.706944,0,0,0,0,0,bimbo_golfo,13:00
PASTELERIA,102128,43069,PAS   PINGUINO,28,9.891111,0.6163889,0.6163889,0,0,0,bimbo_golfo,13:00
PASTELERIA,108210,202043,PAS   MINI PINGUINO,22,13.472777,0,0,0.083333336,0,0,bimbo_golfo,13:00
